range: +/- 4.096V
rate: 128 SPS
mux: AIN0 - AIN3
mode: Single
raw: [10010011 10000011]
Modulator output = 0
Waiting 10s...
zero crossing function
temp reading fn
i: 52.1, s: 50.0, e: -2.1, i: 0.0, d: 52.1, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.1, s: 50.0, e: -2.1, i: 0.0, d: 52.1, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.1, s: 50.0, e: -2.1, i: 0.0, d: 52.1, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.1, s: 50.0, e: -2.1, i: 0.0, d: 52.1, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.0, s: 50.0, e: -2.0, i: 0.0, d: 52.0, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.0, s: 50.0, e: -2.0, i: 0.0, d: 52.0, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.0, s: 50.0, e: -2.0, i: 0.0, d: 52.0, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.0, s: 50.0, e: -2.0, i: 0.0, d: 52.0, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.0, s: 50.0, e: -2.0, i: 0.0, d: 52.0, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.0, s: 50.0, e: -2.0, i: 0.0, d: 52.0, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.0, s: 50.0, e: -2.0, i: 0.0, d: 52.0, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 52.0, s: 50.0, e: -2.0, i: 0.0, d: 52.0, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 51.9, s: 50.0, e: -1.9, i: 0.0, d: 51.9, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 51.8, s: 50.0, e: -1.8, i: 0.0, d: 51.8, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 51.8, s: 50.0, e: -1.8, i: 0.0, d: 51.8, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 51.8, s: 50.0, e: -1.8, i: 0.0, d: 51.8, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 51.8, s: 50.0, e: -1.8, i: 0.0, d: 51.8, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
i: 51.8, s: 50.0, e: -1.8, i: 0.0, d: 51.8, PT: -0.1, IT: 0.0, DT: 0.0, O: 0.000
